product_description,product_url,image_url,price,delivery_time,pickup_availability,cancellation_policy,product_status,product_views,
Old Phone • Klassiker • Sony Ericsson  QuickShare K750i • Silber • geprüft ✅✅,https://www.ebay.de/itm/205541628650?_skw=phones&epid=100238728&itmmeta=01K02AVYVDND4AD8FW5X9Q20G3&hash=item2fdb3c5aea:g:jOMAAeSwWCloEy8E&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1emAgGNu98NXZIJ4t%2Bz8RO%2F3DQxyRv7Yya4FEiXnG%2FDXF3uGNSfvTfdGAcvLMoxfpV%2BCI%2F%2BmvSgPQM2JmcurDB%2FwTZzJ9pIKY6g8i%2BBRZvyG9Dm9cMU0Roy1GyEzCfX85NZZri%2B0KeKGqVLlx1guTzreeegRt06D9JaMDBkHUVAgP4usB3kg1VayylYhsf6Xrs9Se8XJShHj0fW9WLcBMI5j27KXQbp%2Fro%2BiJoHYz8i6w%3D%3D%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/jOMAAeSwWCloEy8E/s-l500.webp," 21,17",Gratis 1-2 Tage Lieferung,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
NOTHING Phone (3A) Pro 256 GB Grau Dual SIM Smartphone Handy Mobile Android,https://www.ebay.de/itm/167637591194?_skw=phones&itmmeta=01K02AVYVDDAAX4R8B6T0MZVPK&hash=item2707faa49a:g:qjoAAeSwM5VobpPd&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fjOnfoxDYubqqGX4v3Oh7DvMxXroTJhlFKG%2BGjj3fuxqjdLI8hQg7MmjI9%2FohgHFBNrTDfgSHOBthJiTUgUWranDoqDJILKMklHDEYHCZHx0wZzUTn6ijDdoUKoSC4pCxc2IYqe1OTZqm0V2fbGcVc%2Fgx8r5qS4diCx%2FKJrxu1kxDoMngNOlHHR4jwaJAd6ORQk%2FH0vl4XX6KDVQirkRjjOA3Wark87Lm%2F0GhS9eDg%2FA%3D%3D%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/qjoAAeSwM5VobpPd/s-l500.webp," 296,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
Old Phone • Tastenhandy • Siemens  S65 • Klassiker • Geprüft • Funktioniert ✅✅,https://www.ebay.de/itm/205197722850?_skw=phones&epid=100238018&itmmeta=01K02AVYVD474APE39RCRKG0NC&hash=item2fc6bcc4e2:g:Q1UAAOSwsg5mre4j&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dUBQ4NF86Vv%2F505oVN7x9Z2y2uihI8hkstTEdydvgI%2B5g5iM3t0G4rULlydLUvk%2FyNE2vHe7ZFeflbS1S9D%2FPOXWIU4BOPhCBE%2BtR7yiT1GX7nY%2Bzj%2BWVw7F3lW%2BTGZuVPNCHpzZTkvvF3cuKfZcSiCNb3DpvRZBnfAotSYjNVe95truApGM7tDdj%2Bhsk8gz75MTdACkp%2Bg%2FGqWb2jcG6BVCexcSauHNKkOErlgLFzcw%3D%3D%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/Q1UAAOSwsg5mre4j/s-l500.webp," 16,92",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Nokia 8110 4G Unlocked 4GB Dual Sim KaiOS 2.5.1 Slide Banana Cellphone Yellow,https://www.ebay.de/itm/388634290962?_skw=phones&itmmeta=01K02AVYVDD4FS2MVVJ4V7ZSNV&hash=item5a7c68ab12:g:M7EAAOSwiwNoXPGI&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evEtbNE0zntO7XyEfmJMZFo8K5GZ3FFuIPGdAULaK6uMYq6m6kfemT7E7G3t%2BJLbgUhbNa%2BR%2FMWXSxQLLRVKda2%2BvBRC2QktWJHEvQb%2BchgnwSd63vy%2B%2BkyZWRab6AiOay4odGmB8KrBLAuYjkH2Tl2DAUTWcMWmyISrOQu%2BRrmgE7stg%2F9K6b%2F8kP4vPMuy96UR7KCm0MohtSvyNV8NtbIjRnJ2WUmf5Vw5stTuOOOA%3D%3D%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/M7EAAOSwiwNoXPGI/s-l500.webp," 53,55bis 58,31",Not Applicable,N/A,Return Not Possible,Direkt von store,2,
Over Ear Kopfhörer mit Kabel Headset HiFi Sound Musik Stereo Klinke Headphones,https://www.ebay.de/itm/394926496309?_skw=phones&itmmeta=01K02AVYVD8TFJZA9SB2N7FEXJ&hash=item5bf3741a35:g:59wAAOSwWUFlPN3s&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eGI%2BQHFSGlptUvPPL0NxUdiofCXsZjT7d22k3r7ULvJ3aI5YD7MFrE6XzQJ6PD639LU%2BWnQJ1ff2UKKIFC0eaLaOZDqU2kKSfLMAuv88Qs7FsY0YIaM48j%2F32OZCsWlBWPKqY4df6DnKSkKfBlnrr8Ij%2BUtAB9MYCn7Z1wtn08DVoQzcybaaRKM2c3zxpp88ss0BAHDaDyel6ak%2B39wxUwbXPU8mqGbgrFFyDUAAf4rbwWBnvwEYjcf8T3OHZKQ4nQ%2B%2BKztLZZGo9K7XiqvSZy%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/59wAAOSwWUFlPN3s/s-l500.webp," 7,39bis 8,39",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Neues AngebotTecno Camon Pro30 Handy 16GB + 1TB schwarz 5G kompatibel,https://www.ebay.de/itm/277268150314?_skw=phones&itmmeta=01K02AVYVDKPEK7YKKJCYBJNFA&hash=item408e78382a:g:IMsAAeSwc6Voc7~u&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eStr7H7HwIJNAUzhpeloKSwpqaHS%2BpVo0IhpSnjlLavdIUZlc1po5Y7vSyv3qIWDfWA%2BIG0c605OtV3AS6PjnhGmpVZQ4CHQpPdiTLKpillEDAGNjTGiCsaAPPhmtvvOnCg6Cys%2F5cf8bzoXlnn4%2Fpx%2BGp1l0KUQq4dtLSuzJgei4nN67Z14rGqelaM6AnKIQE%2Fazmn2%2FI93FaJVpseckCnLjZby6ML6QSmUrudyM5fG%2B3O%2FA1g%2BngxLiy6cSMyp9J5gQbtRhGJE2KlshMLPSg%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/IMsAAeSwc6Voc7~u/s-l500.webp," 150,06",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Neues AngebotDORO PHONE EASY 610 SCHWARZ-WEISS TOP+OVP+VIELE EXTRAS+RECHNUNG+DHL VERSAND,https://www.ebay.de/itm/365727391996?_skw=phones&itmmeta=01K02AVYVD2WRYTE7HZ1J80KXF&hash=item55270d20fc:g:s7sAAOSwYVBnr4VN&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dz3%2FMc3tBGo0NbY%2B0MlTeNTt1omzlBooBjmJ1y%2FTlZpfBK%2Bnzflo51K0Njb5X%2Fmx%2F18c3W35B0L4JlA0QvyMH1bS3v5JTmyWla5%2BbzKgN5y%2B9BsQO%2BVplTkmEubDxG5c%2Fe4uJOpDwAfeuPYZpXVkZHgbtw3Go2eb%2BE2sSKdHndQ39dzbKdB%2BgxErU%2FI7AEzhUl5rE1j7a5RH2M3DSKxW1JOBQTdBhPpAgrITCqQq%2BXgw%3D%3D%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/s7sAAOSwYVBnr4VN/s-l500.webp," 79,00",Not Applicable,N/A,Seller Pays Return Shipping,Direkt von store,0,
Nothing Phone 3a 128 GB weiß Smartphone Handy Ohne Vertrag Mobile Android,https://www.ebay.de/itm/286693597042?_skw=phones&itmmeta=01K00FBEBVP41GQCK427NAJ1K8&hash=item42c0451f72:g:H6UAAeSwul1oY8tY&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eCVKO0o%2B3aDgJPXr5tAPNvI937WBO4%2BtNyAEic7qe5jjw3nnidIAYdva4mDgiYV1Kgw4XhAeSvviK1mJ7gbl%2F6qicXQOCJpA7BKSQsEnqr2Zqr%2FhI2BeUBUJdRo6l1N4dhAWwsqg%2B63O31M5DlgDFzntXvCRGfBJYLp3j5JMMNSSwOLwH%2Bd7KePlMPYt%2B5yT3QAn7VfUbQngg25JBsSOBt8pLf5zvuYKTl6U82WH6j9A%3D%3D%7Ctkp%3ABk9SR7zmrY-AZg,https://i.ebayimg.com/images/g/H6UAAeSwul1oY8tY/s-l500.webp," 293,90",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,0,
Old Phone • selten • Sammler • Sony Ericsson  Walkman W800i • Smooth White ✅✅,https://www.ebay.de/itm/205465507448?_skw=phones&epid=100227777&itmmeta=01K02AVYVD4P9FF2FQNVSDST5C&hash=item2fd6b2d678:g:LsoAAeSweWJoFz7m&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d7P4PenlgIevN%2FfqcFIfq3%2Bc7REL6%2FJmN%2FdNFkrGdtR7G73UXdJ6VuHtqq5mrg1OlhipiCc0rmfR0wWvtmRUVZ4RD0%2FhkuF%2F4pe12P06%2FxWNUnlLDEwxVxLfYdJpYmXAvC1981pWLYFPvnPMGs8eFW--41NTjtWphZYyKIgiDMnPuLzIFmNnZb%2FOi3BeGNNigF2ILz%2FUrm3H0BCHTEv4wTDXl%2BtFeSO0PqvhEaCywAu2UBDt7b2N864l7HM%2F2qg5HgSQ3yVG%2BhKn4IPCCpgr%2F9%7Ctkp%3ABFBMsu7vyoBm,https://i.ebayimg.com/images/g/LsoAAeSweWJoFz7m/s-l500.webp," 50,92",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Microsoft Lumia 540 Dual Sim - 8GB - Orange (Ohne Simlock) Smartphone,https://www.ebay.de/itm/186935000200?_skw=phones&itmmeta=01K02AVYVDMA7SBEDXP01HFHHE&hash=item2b8631bc88:g:lFIAAOSwS~Znpjkr&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d2gheFe%2BF6UZ8Y5A0m2oNYFp4TNh9yH1Xfx15%2BSON6CMWzJJfKjnFqLsjs1kgZQqF37IsyQeo%2FoUllkk2h7jgbpfDXh0F2WMUHL9AS%2FBfQgIFYeP6G9t6gFK%2BfKXdTBf8WDHSvyrepgg4gHcXdPXRoecpmZROsIy6qvTpVbdqx4VI%2FlN5j1GkKxE6b9sjcJXPCdB67rdFQss31baWbsB3%2Bhs9NSOyTFPrsUqepoQtQUM0Q1VawSa2dXnshfci6QYkyiTHsj0ff1FB%2BmcC%2FqnBI%7Ctkp%3ABFBMsu7vyoBm,https://i.ebayimg.com/images/g/lFIAAOSwS~Znpjkr/s-l500.webp," 49,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
Fairphone 4 256GB Garantie Dez 29,https://www.ebay.de/itm/388698835325?_skw=phones&itmmeta=01K02AVYVD9FP357YG47EVP6B0&hash=item5a8041897d:g:qBYAAeSw9~Bocilh&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e9xd01UHkAFW5YPJv29B%2BHrENc1WlRrABXai5DTSj48rYiHr6kb65NFTfcaF%2BiQAqJQzY1S%2B3U%2BJxHs%2Blna%2BnXTbLxynkINelkoMAF4Crp%2FAmuoYCqpYgE1dnkhwEI8bMw2xw1te1OdQgijIPNC%2B%2Fy%2Bu279Q87480DfBI8ZkoYRCNWlefA%2FvAkI7znYwWXuUFeVcIo1TvdeMmCTEA2zXx6JOphcKi7OFYa6G04EJRhRok2x3oaI1gwyUccMdGiGfcJov5Yq8mYULDT1CAkKdj5%7Ctkp%3ABk9SR7Lu78qAZg,https://i.ebayimg.com/images/g/qBYAAeSw9~Bocilh/s-l500.webp," 420,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
"Ulefone Armor 24 24GB + 256GB 4G WaterProof 6,78"" FHD+ 64M + 64M Kamera 22000mAh",https://www.ebay.de/itm/336030255621?_skw=phones&itmmeta=01K02AVYVDFSS7BNAHA52E4F9W&hash=item4e3cf6ca05:g:IZ4AAOSwvRNoWR0x&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ezNgc3kfmXh5RYvOVLk4rgR%2BECD7td3Lm%2BvnoPAEvL7HVUaOlN0kyhXOHuDQh%2FAGmV2IA1AWc%2BHs7lNieVvmktPTnvMGbgRnuzdiIvyKW6XYrfBGAwVVFuqhuH89TRqohy0poDS8cCX5zC9mkf5JBbyXSFMBVoMRV5y8DeNeeZP3R09Lt7bCCGbLMTe7lDWlrQVD5bvj4FwsdDjUgaRxkmwa3sPINtRrpNr6GQcSMaKQ%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/IZ4AAOSwvRNoWR0x/s-l500.webp," 191,35",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
"Samsung Galaxy S6 SM-G920F Smartphone/ 4G/ LTE/ Super AMOLED/3  GB/ 32GB/ 5,1 """,https://www.ebay.de/itm/335706192877?_skw=phones&itmmeta=01K02AVYVD10H6ST24BZMKCW47&hash=item4e29a5fbed:g:3eEAAOSwwdJnTmZI&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1efkXUCIz5PE%2BDnrHLixLsrUxBzYkyLSiZBTo2NgOJ8UOOjlPc8VXfPO9Z1M%2FWixFp1HWAaZ6h%2FnxrOJCcZHL77q2GIkhn4igFm6KBMaB6JHroc6I12ppTVOwPPUHSVaqI7lx1LdGqd6iLUJPl46NEp3zgOsye%2F13f8hlbHD5t51zFLBDoecV2Gi%2BSqxnodGwSx%2BCNz3ELlB%2B5TUZR%2B1ow399rqggDqaRlcwWbwZHLcTA%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/3eEAAOSwwdJnTmZI/s-l500.webp," 119,95",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
Nokia Lumia 1520 - Microsoft Windows 10 Mobile Phone,https://www.ebay.de/itm/226752639432?_skw=phones&itmmeta=01K02AVYVDVYY1M2Y9T9XQV9AR&hash=item34cb82b1c8:g:dc4AAOSwquxoJKHl&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dpJ34ttw%2FCSD4KJyaG4S1dlkuaevA4RbuqPn2BIqL%2Be4S0QynrUgIOJ%2BTAbLP23wufCsvieCQka69sjTwN1MnGPyw0uYrM7q65PW9Xb7aukuFa3UohQHBYbPP%2BKIVzf%2FQOTIVbuYYO7BhW8f4zaZbWxf7E89%2Fh9xPV4KiKWx51DY0c6lgCjsX3aJizxqYFVSHU54R5UCRdPHrNM2Qeclmx8SsXKwxRGuO9it6FbJsAFQusIm8JEGlGEPMgBFAFSaqFu6p2plW%2Bn50Joz9NPiG0%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/dc4AAOSwquxoJKHl/s-l500.webp," 125,00",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
"2025 Neu Mini Handy 2,4"" Klapp Smartphone Ohne Vertrag Dual SIM Laut Druckknopf",https://www.ebay.de/itm/156550673736?_skw=phones&itmmeta=01K02AVYVD3M8S6ATXW7YZWPCJ&hash=item247325b548:g:t1gAAOSwqs9nhMJP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eoPWLirtdUcnGRzel1FroVH7ZrGkoUJb9r3jgrCfarhl7TwEG2bwyzhEQdqcRtFGg3fKxkxE2vw5rdYtGQz44m4ZkUJE8ztfaKqSbo12dI05h53pjC0jXH8Ng6pmIhIMISZiaU4B8ZO4Z%2BXZLDFPEji4V6bEDw4r2QYTR8UYCvj9j9whgiub6Pgyt5RgI5HbLCzc%2FBZmVY7VpdHTNyGsFFIvNdW4HHj8%2FeXXgsDPnpNg%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/t1gAAOSwqs9nhMJP/s-l500.webp," 33,98",Gratis 2-3 Tage Lieferung,N/A,Seller Pays Return Shipping,Direkt von XGODY,7,
Apple iPhone 13   Red. Kein Sinlock,https://www.ebay.de/itm/187407302003?_skw=phones&epid=2320328668&itmmeta=01K02AVYVDYFKK49865YTAY3EZ&hash=item2ba2587d73:g:GB0AAeSwda9oclaR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eFlgZ6GmWJUiretzH39zowsunfftWNfpELOe1JxgtZlWuY02zJ3g0ukWfyiS5FfeMgtLyGSqDyWVndykuzashgu%2FIpaUDh7I03yHHpN2FNvaDEP7stZd6tCIqBkm%2BtGCj4ypQxD5%2FnGxrVrn1cn%2FXktKE9n4mEnxISI19oz9SuD4k9%2BW60O%2BlzAaMs8eOSWhtadEN0rUuu%2FGEGM%2BPee5Q70IbJVCvoHpduINmkl465zw%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/GB0AAeSwda9oclaR/s-l500.webp," 94,28",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
Nokia LUMIA 1520 32 GB / 6 Zoll Full HD Win 10 Neuwertig,https://www.ebay.de/itm/197196520770?_skw=phones&epid=200877649&itmmeta=01K02AVYVDEY2W9M1TAG1RP4TC&hash=item2de9d41d42:g:xD8AAOSwtPxnUw6n&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dXdAGKGJ5jvxvMTk2T8ww7%2BML%2FLmQscG0uNna6tLQj4hk2NxI28HMIAoUUEmzcqx%2BGllN0T8%2FFH6jbx3j75IEOE69DCg83u6pUNOQhKJHl6ohaKyoxHkpsGKK%2FHvX52I98ssAF3VgzRykTFzdg4cAT6qFLAtXbTKyOl7HwRRaXOXGrnoy%2FA9w1EcZWr59oQYGEGegCIwn%2FChXeOlJuX%2FCCpavIt2mCwDRphuwhLHA4XxQ743EevHpIXxHwL1l2%2BtcRF%2Bt2rgi4RQ0aWfO5la5y%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/xD8AAOSwtPxnUw6n/s-l500.webp," 99,00",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Original Nokia Lumia 920 32GB Schwarz/Black! NEU & Unbenutzt! Ohne Simlock!,https://www.ebay.de/itm/167172435703?_skw=phones&epid=128781932&itmmeta=01K02AVYVE7WXZQ9D3W5RX0WVQ&hash=item26ec40eef7:g:K2EAAOSwHOFenbl1&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cANwZmsZaVChLw2zSsjlvPpuwtjNJkNpAZv7xgswc05LPcVj897DP2s%2BUezDVPfsHazXMVVn%2FbDjynxoy%2FOGGuoMMijGe%2Fh7Z6K%2FWrrbAZHPWueKNxdojvlZh54v7XSoZZZ3U%2BcZ2WhSY7VR0KP8Mppp5vkALxnX5RB0SkzSSLaidoVf0kMLuDNqys7P5Jo7%2Fc3BGLJ1EKgTExdzd9ZzMaF5axC1wCaEWiD1faqIXsaw%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/K2EAAOSwHOFenbl1/s-l500.webp," 118,00",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Direkt von store,0,
Neues AngebotSHIFTphone 8.1 Dual-Sim 512 GB,https://www.ebay.de/itm/116688295777?_skw=phones&itmmeta=01K00FBEBVGPSEB5TRCTM6066B&hash=item1b2b2a1761:g:z3cAAeSwEnVocgRW&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dAr2sTeFsBXA8IWiIihugxebXK%2B92oFVTfR4BMTVJYw%2BO2mJwgppJ8ujSYyIONgQKhzobMilVePld43x5N48NpoW2rlTLXKx5MJy2CapsYFFdz6YXufuoKXgYwaNrybktObSu2eIVIG3guRK9%2BCAZWiYpYV50qRjH2spMkMBp3vpsSddrwxb8JHooaFbL%2BkaJo42j%2BshK7UiwvWF4JHusrNZAke%2FDRs3P5%2FZrd8grnsuo%2ByZ34xxyP8DzF3OxRDamP9jYauUWkfRmkplcI9kvK%7Ctkp%3ABk9SR7zmrY-AZg,https://i.ebayimg.com/images/g/z3cAAeSwEnVocgRW/s-l500.webp," 650,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
Nothing Phone 3a Pro 256 GB schwarz Smartphone Handy Ohne Vertrag Mobile Android,https://www.ebay.de/itm/286693601692?_skw=phones&itmmeta=01K02AVYVEW8ZGF4QJAA46SAWD&hash=item42c045319c:g:blkAAOSwFm9oNHBB&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ehrpPHX3%2FYWs4lAsvqhxkJWuPbWmEIJTCGJUr22w3%2Fb7Y56uGnFiP8pxEHL9ZIiOooeInXOHvgQHB%2B8NzXzjX1enSTqjnDUPcGKXyjgSdnJohZfHJ%2F7Nnl0MQwEjTwZZFgVy04NWkN%2F3Kf4w880bmAgNoLlzwUAYCTLUiQ63lP8LiBXyWqjfgJMUQ0LVyImF%2BMH%2Byfy1dhQQ6Ml2JmDG3rDMGYxBKaiRgfw8KjC%2FDTig%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/blkAAOSwFm9oNHBB/s-l500.webp," 411,90",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Direkt von store,0,
Nothing Phone (2)  256GB grau,https://www.ebay.de/itm/406039007816?_skw=phones&epid=9063011799&itmmeta=01K02AVYVEMXJQKCJNHGKXFPPS&hash=item5e89cf9248:g:DQQAAeSwbjZoaBz2&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cErkWXDiyfEcSukwr3ywko%2By%2BBU7HX8V6l61CUqfCRj7IqpcRTkKyV7xZHZFsh6IV4HNHiOFYStA%2BFuBYYhVaq4gawWW498LuhkSsmE%2FwCt28PCpQrYXNetotPYeiVHHAYkg%2B2tDRhgD5nol85FocGbKUpMGvUFFL%2BohuCFnIfSXmNR3YEIQHlsZpe6r1kgoUv464M2jEs9PdizHszzvysJ%2F8z2XeDRHhBObhoJ1E0pqRSEH58OGbFiNLF60wjN7c3IPzfjdBwedUU6kaMktz5%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/DQQAAeSwbjZoaBz2/s-l500.webp," 285,00",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Logicom Vega 150 Wireless Phone Festtelefon DECT Schwarz,https://www.ebay.de/itm/136142067670?_skw=phones&itmmeta=01K02AVYVE5J5VX4TDWQTB5KHD&hash=item1fb2b317d6:g:ahsAAeSwwKRocakc&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ep2U0TWF7HIEB5myrlBI9nQxLLnZzqyk1qpRGSxlHSGl6Pa409lGEc0p6WhVIUbKhWomyLxKC2TP%2FXXV8N%2BWsjbt795B17qckU6jLxaz8Q28rdY6LAgp%2B9CdCT7GJihpujNxp2Mmqp4%2BPZxPFrpQApP%2Fw4oYPCjV5wpFd6rZPAJxWO4NwDckVHJNBrcNeF%2FIGqHPlGZDfZ7J0ti%2FM4s3QGJGcXS1SV3NxX4Q%2B%2FYL9gKB10uNHyeN0CrUjnRTrtcDOzRHF%2BegXyZIo5Ty3fTen1%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/ahsAAeSwwKRocakc/s-l500.webp," 24,99",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Direkt von store,0,
"Original Unlocked Nokia E7 Slide QWERTY Keypad 16GB 3G Wifi 4""Touch Screen Phone",https://www.ebay.de/itm/156996727943?_skw=phones&itmmeta=01K02AVYVEKGF0612XM6QJD8J1&hash=item248dbbf487:g:-m4AAOSwq8tkcE2N&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1df7ebDirhG8%2F7qXoJvADxe3giFWwTn8U2a5dsU4DsowxjJLq9ZX%2FnIjoqZ1giNuPi1qcC2WwFDoF2BiO8xoqpBheqOS78ZD6OWdIueEI31m33uDMPAgAkVY68i%2FA%2FJSvJBp29MLBUIXY5R6VGMp2V6bhXlfrwwBwguxYfPMfKp8CQOGxKYbxNO92jmPY2l5h53ksrvcQNU0urmP1F9pzqAKLH5CoGD%2FGi%2BlBLwrWLz%2BA%3D%3D%7Ctkp%3ABk9SR7Tu78qAZg,https://i.ebayimg.com/images/g/-m4AAOSwq8tkcE2N/s-l500.webp," 76,15",Not Applicable,N/A,Return Not Possible,Direkt von store,4,
Neues AngebotNothing Phone 2 5G Smartphone 512GB 12GB RAM Weiß Dual-Kamera 4700mAh,https://www.ebay.de/itm/357279690506?_skw=phones&itmmeta=01K02AVYVEMY08KEQQ52FXE1TF&hash=item532f876f0a:g:jTIAAeSwgP9oc38f&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dTGxzyg4iFjUowngqtqEmYxjKLKkl7DD9tiNVzRBhRNtGNtfqeAet9wfscxNHTfCJEqnB8nFsGNdqXVcxC9cM4zBjgRNM%2FpT2IO6wAmQK6dI926kWuyBQfEY8%2FCFe%2FVT2rC7CyPBJoj7DcEn%2BgDv0PeUoV7WuOPsWQdyuCWs1PKE8ZIO%2FsNa3h9STchXdZFPxuUsGdreukvovH9xSS7SBBBiaEOciEF33yN%2BkGm60S6jdwNCsiY6OaifugQjD07z2X3wQjXVoZfSTleZq%2Fjm9T%7Ctkp%3ABk9SR7bu78qAZg,https://i.ebayimg.com/images/g/jTIAAeSwgP9oc38f/s-l500.webp," 459,00",Not Applicable,N/A,Return Not Possible,Direkt von store,0,
Xiaomi 11T Pro 5G Dual SIM 8GB RAM 256GB Meteorite Gray ...MwSt nicht ausweisbar,https://www.ebay.de/itm/197498512846?_skw=phones&epid=13052175333&itmmeta=01K02AVYVE0G2H8WP76GZQTMA2&hash=item2dfbd425ce:g:lbsAAeSwAH9oZ9NH&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dsoRbLBYSZJlJlOY9HLV74l7dCj6thsNnQv2w03e4%2FNoSi2EO2GmR6nd2MjiSMXbvbwQWdB3Iwsqw8irfXsQiHUTicj%2FtLn4Iy1ZabC2AKf8L3Fcm8R2jsn%2BwjzVLibpoDXbdMmHsWCX985TmPCZfEJMOX5pzqwIp6O3W027P3eyUaBwhtD7%2BejRLV4sAevZK%2FG9EPUmS5JRN9ZOErqGyyzEZYqS5LTLvfhzBdV2rR8760veRLrzF2OEfihkqHVOvHNLPTWZBbtyblFAkJpdUQ%7Ctkp%3ABk9SR7bu78qAZg,https://i.ebayimg.com/images/g/lbsAAeSwAH9oZ9NH/s-l500.webp," 166,68",Gratis 1-2 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,0,
